Premier auteur
Mauricio Aguilar-Garavito
Ludmilla M. S. Aguiar
Maria Clara Oleski Amatuzzi
Carla I. Aranguren
Edith Arias Arone
Enrico Bernard
Gledson Vigiano Bianconi
Alberto Cadena
Diego Fernando Casallas-Pabon
Maria C. de Carvalho-Ricardo
John Harold Castano-Salazar
John Harold Castano-Salazar
Alejandro A. Castro-Luna
Pierre Charles-Dominique
Sergio Estrada-Villega
D. Faria
Carlos Garcia-Estrada
Rodrigo Garcia-Morales
Queila S. Garcia
Charles O. Handley
E. Raymond Heithaus
Jeses R. Hernandez-Montero and Romeo A. Saldana-Vazquez
Thomas W. B. Horsley
Roberto Lobo Munin
Jorge E. Lopez and J.M. Palmeirim
Salvador Lou
Andrea P. Loayza
Rossana Maguina
Carlos A. Mancina
Rodrigo de Macdo Mello
Eyda Annier Moreno Mosquera
Luana Caroline Munster
Sidney Novoa
Fernando C. Passos
Kevyn Jeasson Junior Quijano Vasquez
N. Reis
Mariano S. Sanchez
Mariano S. Sanchez
Maria Teresa Santiago Del Valle
Mauricio Silveira
Surez Castro
Valeria C. Tavares 
Minga Ochoa
